"","bhk","rent","size","floor","area_type","city","furnishing_status","tenant_preferred","bathroom","point_of_contact","total_floor"
"1",2,10000,1100,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"2",2,20000,800,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"3",2,17000,1000,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"4",2,10000,800,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"5",2,7500,850,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",2
"6",2,7000,600,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",1
"7",2,10000,700,0,"Super Area","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",4
"8",1,5000,250,1,"Super Area","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",2
"9",2,26000,800,1,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",2
"10",2,10000,1000,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",3
"11",3,25000,1200,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent",4
"12",1,5000,400,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",1
"13",1,6500,250,1,"Carpet Area","Kolkata","Furnished","Bachelors",1,"Contact Owner",4
"14",1,5500,375,1,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent",2
"15",3,8500,900,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",2
"16",3,40000,1286,1,"Carpet Area","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",1
"17",2,6000,600,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"18",2,10000,800,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"19",2,11000,2000,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"20",2,6000,660,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"21",2,7900,650,1,"Carpet Area","Kolkata","Unfurnished","Family",1,"Contact Owner",2
"22",2,9000,400,2,"Carpet Area","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",3
"23",1,4000,300,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",4
"24",3,6500,1600,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"25",1,8000,400,1,"Super Area","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent",2
"26",2,7000,1000,1,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"27",1,5300,355,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",1
"28",2,6000,1000,0,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",3
"29",2,8500,800,4,"Super Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",5
"30",2,12500,850,0,"Super Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"31",1,7500,350,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",2
"32",2,15000,900,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"33",2,6000,550,1,"Super Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",1
"34",2,5000,500,0,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",2
"35",3,22000,1100,2,"Carpet Area","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",3
"36",2,15000,850,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
"37",2,12500,800,2,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Agent",2
"38",2,7000,630,0,"Carpet Area","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",3
"39",2,21000,900,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner",2
"40",1,10000,270,1,"Carpet Area","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",2
